image_name,source_explanation,source_sentence_number,source_sentence,target_explanation,target_sentence_number,target_sentence,similarity
documerica_0005.jpg,0,1,"The image depicts an abandoned vehicle part, specifically a car bumper, set amidst dense vegetation.",1,1,"The image shows a disassembled car, with parts such as the front bumper and grille lying on the ground amidst vegetation.",0.6836967
documerica_0005.jpg,0,1,"The image depicts an abandoned vehicle part, specifically a car bumper, set amidst dense vegetation.",2,1,The image appears to show the remnants of an old car that has been discarded in a natural setting.,0.69392395
documerica_0005.jpg,0,1,"The image depicts an abandoned vehicle part, specifically a car bumper, set amidst dense vegetation.",3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",0.81700206
documerica_0005.jpg,0,1,"The image depicts an abandoned vehicle part, specifically a car bumper, set amidst dense vegetation.",4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.7915149
documerica_0005.jpg,0,1,"The image depicts an abandoned vehicle part, specifically a car bumper, set amidst dense vegetation.",4,4,"The surrounding area consists of dense greenery, likely brush or weeds, suggesting the vehicle has been there for some time.",0.6062608
documerica_0005.jpg,0,4,"The background consists of lush greenery, which could imply a rural or less maintained area.",2,4,Surrounding vegetation suggests a rural or semi-rural location.,0.7353209
documerica_0005.jpg,0,4,"The background consists of lush greenery, which could imply a rural or less maintained area.",3,2,"The surrounding environment suggests an outdoor, possibly rural or neglected area, given the dense foliage and lack of maintained ground cover.",0.7037192
documerica_0005.jpg,0,4,"The background consists of lush greenery, which could imply a rural or less maintained area.",4,4,"The surrounding area consists of dense greenery, likely brush or weeds, suggesting the vehicle has been there for some time.",0.6330217
documerica_0005.jpg,0,5,No people or human activity are visible in the scene.,1,3,There are no visible people or human activity in the scene.,0.9784118
documerica_0005.jpg,0,5,No people or human activity are visible in the scene.,2,6,There are no discernible people or specific activities taking place within the frame.,0.79260546
documerica_0005.jpg,0,5,No people or human activity are visible in the scene.,3,3,There are no visible people or clear indications of ongoing activities; the focus is entirely on the abandoned vehicle component.,0.6946664
documerica_0005.jpg,0,6,There is no visible text or signs that provide additional context.,1,6,"There are no discernible signs, texts, or additional objects that provide further context.",0.79606795
documerica_0005.jpg,0,6,There is no visible text or signs that provide additional context.,2,7,"No text or signs are present, making it difficult to infer any further details about the image's context",0.621835
documerica_0005.jpg,0,7,"The setting suggests a quiet, possibly secluded location where the vehicle has been discarded, possibly due",1,5,"The setting seems to be outdoors, likely in a rural or neglected area.",0.61132765
documerica_0005.jpg,0,7,"The setting suggests a quiet, possibly secluded location where the vehicle has been discarded, possibly due",3,5,"The setting may imply a past event where the vehicle was removed or scrapped, perhaps due",0.60735923
documerica_0005.jpg,0,7,"The setting suggests a quiet, possibly secluded location where the vehicle has been discarded, possibly due",4,4,"The surrounding area consists of dense greenery, likely brush or weeds, suggesting the vehicle has been there for some time.",0.653207
documerica_0005.jpg,1,1,"The image shows a disassembled car, with parts such as the front bumper and grille lying on the ground amidst vegetation.",2,2,"The car's front grille and headlights are visible, though the rest of the vehicle seems to have been stripped away.",0.624583
documerica_0005.jpg,1,1,"The image shows a disassembled car, with parts such as the front bumper and grille lying on the ground amidst vegetation.",2,3,The car's hood and possibly some other components lie scattered on the ground.,0.6469373
documerica_0005.jpg,1,1,"The image shows a disassembled car, with parts such as the front bumper and grille lying on the ground amidst vegetation.",3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",0.8045921
documerica_0005.jpg,1,1,"The image shows a disassembled car, with parts such as the front bumper and grille lying on the ground amidst vegetation.",4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.66256154
documerica_0005.jpg,1,2,"The surrounding area is overgrown with bushes and grass, suggesting it may have been left for some time.",3,2,"The surrounding environment suggests an outdoor, possibly rural or neglected area, given the dense foliage and lack of maintained ground cover.",0.6244603
documerica_0005.jpg,1,2,"The surrounding area is overgrown with bushes and grass, suggesting it may have been left for some time.",4,4,"The surrounding area consists of dense greenery, likely brush or weeds, suggesting the vehicle has been there for some time.",0.6481068
documerica_0005.jpg,1,3,There are no visible people or human activity in the scene.,2,6,There are no discernible people or specific activities taking place within the frame.,0.7996393
documerica_0005.jpg,1,3,There are no visible people or human activity in the scene.,3,3,There are no visible people or clear indications of ongoing activities; the focus is entirely on the abandoned vehicle component.,0.69118655
documerica_0005.jpg,1,4,"The car appears to be in poor condition, possibly abandoned or damaged.",2,1,The image appears to show the remnants of an old car that has been discarded in a natural setting.,0.6320294
documerica_0005.jpg,1,4,"The car appears to be in poor condition, possibly abandoned or damaged.",2,5,The condition of the car indicates it has likely been abandoned for some time.,0.8576107
documerica_0005.jpg,1,4,"The car appears to be in poor condition, possibly abandoned or damaged.",3,4,"The car part appears to be in a state of disrepair, with parts missing and the paint worn off, suggesting it has been left exposed for some time.",0.76773965
documerica_0005.jpg,1,4,"The car appears to be in poor condition, possibly abandoned or damaged.",4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.6202078
documerica_0005.jpg,1,4,"The car appears to be in poor condition, possibly abandoned or damaged.",4,3,"The car appears to be missing its hood, which is lying flat on the ground nearby, possibly indicating damage or neglect.",0.68169117
documerica_0005.jpg,1,5,"The setting seems to be outdoors, likely in a rural or neglected area.",2,4,Surrounding vegetation suggests a rural or semi-rural location.,0.6013073
documerica_0005.jpg,1,5,"The setting seems to be outdoors, likely in a rural or neglected area.",3,2,"The surrounding environment suggests an outdoor, possibly rural or neglected area, given the dense foliage and lack of maintained ground cover.",0.6002106
documerica_0005.jpg,1,6,"There are no discernible signs, texts, or additional objects that provide further context.",2,6,There are no discernible people or specific activities taking place within the frame.,0.65345687
documerica_0005.jpg,2,1,The image appears to show the remnants of an old car that has been discarded in a natural setting.,3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",0.73828626
documerica_0005.jpg,2,1,The image appears to show the remnants of an old car that has been discarded in a natural setting.,4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.7423695
documerica_0005.jpg,2,2,"The car's front grille and headlights are visible, though the rest of the vehicle seems to have been stripped away.",3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",0.6069519
documerica_0005.jpg,2,2,"The car's front grille and headlights are visible, though the rest of the vehicle seems to have been stripped away.",4,2,"The grille and headlights are prominently visible, suggesting the vehicle was once operational.",0.80347836
documerica_0005.jpg,2,3,The car's hood and possibly some other components lie scattered on the ground.,3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",0.60682905
documerica_0005.jpg,2,3,The car's hood and possibly some other components lie scattered on the ground.,4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.61484426
documerica_0005.jpg,2,3,The car's hood and possibly some other components lie scattered on the ground.,4,3,"The car appears to be missing its hood, which is lying flat on the ground nearby, possibly indicating damage or neglect.",0.7948512
documerica_0005.jpg,2,4,Surrounding vegetation suggests a rural or semi-rural location.,3,2,"The surrounding environment suggests an outdoor, possibly rural or neglected area, given the dense foliage and lack of maintained ground cover.",0.76787484
documerica_0005.jpg,2,5,The condition of the car indicates it has likely been abandoned for some time.,3,4,"The car part appears to be in a state of disrepair, with parts missing and the paint worn off, suggesting it has been left exposed for some time.",0.70089227
documerica_0005.jpg,2,5,The condition of the car indicates it has likely been abandoned for some time.,3,5,"The setting may imply a past event where the vehicle was removed or scrapped, perhaps due",0.6031115
documerica_0005.jpg,2,5,The condition of the car indicates it has likely been abandoned for some time.,4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.6489445
documerica_0005.jpg,2,6,There are no discernible people or specific activities taking place within the frame.,3,3,There are no visible people or clear indications of ongoing activities; the focus is entirely on the abandoned vehicle component.,0.64738256
documerica_0005.jpg,3,1,"The image depicts a discarded car part, specifically the front grille and bumper area, lying on its side amidst overgrown vegetation.",4,1,The image shows an abandoned car's front end partially buried in vegetation.,0.7534923
documerica_0005.jpg,3,2,"The surrounding environment suggests an outdoor, possibly rural or neglected area, given the dense foliage and lack of maintained ground cover.",4,4,"The surrounding area consists of dense greenery, likely brush or weeds, suggesting the vehicle has been there for some time.",0.6166835
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,6,1,The photograph captures a person standing on a rocky outcrop overlooking a vast canyon landscape.,0.919127
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,6,3,"The setting suggests a natural, possibly desert-like environment with arid terrain and expansive views of the canyon below.",0.63894165
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,7,1,The image depicts an individual standing on a rocky outcrop with a vast desert landscape stretching into the distance.,0.8843955
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,7,4,"The background features a rugged canyon with layered rock formations, indicating a natural, possibly arid environment.",0.65257895
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,8,1,The image depicts a person standing on a high vantage point overlooking a vast canyon landscape.,0.7892994
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,9,1,"The image shows an individual standing on the edge of a canyon, holding a straw hat in one hand.",0.65878356
documerica_0006.jpg,5,1,The image shows an individual standing on a rocky outcrop with a vast canyon landscape in the background.,9,4,"The background reveals a vast, arid landscape with layered rock formations characteristic of a desert environment, possibly a canyon or badlands.",0.60657835
documerica_0006.jpg,5,2,"The person is dressed casually in a long-sleeved shirt, jeans, and boots, holding a straw hat in one hand and possibly a camera or a similar device slung across their body with the other.",6,2,"The individual appears to be dressed casually for outdoor activity, wearing a long-sleeved shirt, jeans, boots, and holding a hat in one hand while carrying what looks like a camera in the other.",0.81052244
documerica_0006.jpg,5,2,"The person is dressed casually in a long-sleeved shirt, jeans, and boots, holding a straw hat in one hand and possibly a camera or a similar device slung across their body with the other.",7,2,"The person appears to be wearing a long-sleeved shirt, jeans, boots, and a straw hat, which they are holding in one hand.",0.79097486
documerica_0006.jpg,5,2,"The person is dressed casually in a long-sleeved shirt, jeans, and boots, holding a straw hat in one hand and possibly a camera or a similar device slung across their body with the other.",8,2,"The individual appears to be male, wearing glasses, a patterned shirt, jeans, boots, and a hat held in one hand.",0.6215143
documerica_0006.jpg,5,2,"The person is dressed casually in a long-sleeved shirt, jeans, and boots, holding a straw hat in one hand and possibly a camera or a similar device slung across their body with the other.",9,2,"The person appears to be wearing a long-sleeved shirt with a patterned design, jeans, boots, and glasses.",0.6370165
documerica_0006.jpg,5,3,"The canyon's layers of rock suggest geological formations, indicative of a natural, possibly desert-like environment.",6,3,"The setting suggests a natural, possibly desert-like environment with arid terrain and expansive views of the canyon below.",0.77358454
documerica_0006.jpg,5,3,"The canyon's layers of rock suggest geological formations, indicative of a natural, possibly desert-like environment.",7,4,"The background features a rugged canyon with layered rock formations, indicating a natural, possibly arid environment.",0.88540745
documerica_0006.jpg,5,3,"The canyon's layers of rock suggest geological formations, indicative of a natural, possibly desert-like environment.",8,4,"The environment consists of rugged, layered rock formations typical of a desert or canyon region.",0.8599683
documerica_0006.jpg,5,3,"The canyon's layers of rock suggest geological formations, indicative of a natural, possibly desert-like environment.",9,4,"The background reveals a vast, arid landscape with layered rock formations characteristic of a desert environment, possibly a canyon or badlands.",0.83896995
documerica_0006.jpg,5,4,"The sky appears partly cloudy, suggesting daytime.",6,4,The lighting indicates daytime under a partly cloudy sky.,0.84652364
documerica_0006.jpg,5,4,"The sky appears partly cloudy, suggesting daytime.",7,6,"The bright lighting suggests daytime, though the exact",0.623572
documerica_0006.jpg,5,4,"The sky appears partly cloudy, suggesting daytime.",8,5,"The sky above is partly cloudy, indicating a daytime scene with natural light.",0.87848103
documerica_0006.jpg,5,5,There are no visible texts or signs within the frame.,6,5,"No discernible text or signs are present, and there are no clear indicators of specific cultural elements, occupations, or exact time periods.",0.62761986
documerica_0006.jpg,5,5,There are no visible texts or signs within the frame.,8,6,"No text or signs are visible in the image, and there are no discernible objects apart from the camera, which may imply a focus",0.60630876
documerica_0006.jpg,5,5,There are no visible texts or signs within the frame.,9,6,"There are no visible texts or signs in the image, and the exact location cannot be determined.",0.67116433
documerica_0006.jpg,5,7,The individual’s,6,6,The person's,0.7934375
documerica_0006.jpg,6,1,The photograph captures a person standing on a rocky outcrop overlooking a vast canyon landscape.,7,1,The image depicts an individual standing on a rocky outcrop with a vast desert landscape stretching into the distance.,0.8309977
documerica_0006.jpg,6,1,The photograph captures a person standing on a rocky outcrop overlooking a vast canyon landscape.,8,1,The image depicts a person standing on a high vantage point overlooking a vast canyon landscape.,0.84755695
documerica_0006.jpg,6,2,"The individual appears to be dressed casually for outdoor activity, wearing a long-sleeved shirt, jeans, boots, and holding a hat in one hand while carrying what looks like a camera in the other.",7,2,"The person appears to be wearing a long-sleeved shirt, jeans, boots, and a straw hat, which they are holding in one hand.",0.6885222
documerica_0006.jpg,6,2,"The individual appears to be dressed casually for outdoor activity, wearing a long-sleeved shirt, jeans, boots, and holding a hat in one hand while carrying what looks like a camera in the other.",8,2,"The individual appears to be male, wearing glasses, a patterned shirt, jeans, boots, and a hat held in one hand.",0.6451568
documerica_0006.jpg,6,2,"The individual appears to be dressed casually for outdoor activity, wearing a long-sleeved shirt, jeans, boots, and holding a hat in one hand while carrying what looks like a camera in the other.",9,2,"The person appears to be wearing a long-sleeved shirt with a patterned design, jeans, boots, and glasses.",0.6098713
